No,I
Komoditas (Rp),Bawang Merah
01/ 10/ 2020,"32,850"
02/ 10/ 2020,"32,850"
05/ 10/ 2020,"37,500"
06/ 10/ 2020,"37,500"
07/ 10/ 2020,"37,500"
08/ 10/ 2020,"37,500"
09/ 10/ 2020,"37,500"
12/ 10/ 2020,"39,150"
13/ 10/ 2020,"39,150"
14/ 10/ 2020,"40,000"
15/ 10/ 2020,"40,000"
16/ 10/ 2020,"40,850"
19/ 10/ 2020,"37,500"
20/ 10/ 2020,"37,500"
21/ 10/ 2020,"37,500"
22/ 10/ 2020,"37,500"
23/ 10/ 2020,"37,500"
26/ 10/ 2020,"38,350"
27/ 10/ 2020,"38,350"
28/ 10/ 2020,-
29/ 10/ 2020,-
30/ 10/ 2020,-
02/ 11/ 2020,"38,350"
03/ 11/ 2020,"38,350"
04/ 11/ 2020,"38,350"
05/ 11/ 2020,"38,350"
06/ 11/ 2020,"38,350"
09/ 11/ 2020,"37,500"
10/ 11/ 2020,"37,500"
11/ 11/ 2020,"37,500"
12/ 11/ 2020,"37,500"
13/ 11/ 2020,"37,500"
16/ 11/ 2020,"37,500"
17/ 11/ 2020,"37,500"
18/ 11/ 2020,"37,500"
19/ 11/ 2020,"37,500"
20/ 11/ 2020,"37,500"
23/ 11/ 2020,"37,500"
24/ 11/ 2020,"37,500"
25/ 11/ 2020,"37,500"
26/ 11/ 2020,"37,500"
27/ 11/ 2020,"37,500"
30/ 11/ 2020,"37,500"
01/ 12/ 2020,"37,500"
02/ 12/ 2020,"37,500"
03/ 12/ 2020,"37,500"
04/ 12/ 2020,"37,500"
07/ 12/ 2020,"37,500"
08/ 12/ 2020,"37,500"
09/ 12/ 2020,-
10/ 12/ 2020,"37,500"
11/ 12/ 2020,"37,500"
14/ 12/ 2020,"38,000"
15/ 12/ 2020,"38,000"
16/ 12/ 2020,"38,000"
17/ 12/ 2020,"38,000"
18/ 12/ 2020,"38,000"
21/ 12/ 2020,"35,500"
22/ 12/ 2020,"35,500"
23/ 12/ 2020,"35,500"
24/ 12/ 2020,-
25/ 12/ 2020,-
28/ 12/ 2020,"35,000"
29/ 12/ 2020,"35,000"
30/ 12/ 2020,"35,000"
31/ 12/ 2020,-
01/ 01/ 2021,-
04/ 01/ 2021,"35,000"
05/ 01/ 2021,"35,000"
06/ 01/ 2021,"33,350"
07/ 01/ 2021,"33,350"
08/ 01/ 2021,"33,350"
11/ 01/ 2021,"34,150"
12/ 01/ 2021,"34,150"
13/ 01/ 2021,"34,150"
14/ 01/ 2021,"35,000"
15/ 01/ 2021,"35,000"
18/ 01/ 2021,"34,150"
19/ 01/ 2021,"34,150"
20/ 01/ 2021,"34,150"
21/ 01/ 2021,"34,150"
22/ 01/ 2021,"34,150"
25/ 01/ 2021,"35,000"
26/ 01/ 2021,"35,000"
27/ 01/ 2021,"35,000"
28/ 01/ 2021,"35,000"
29/ 01/ 2021,"35,000"
01/ 02/ 2021,"35,850"
02/ 02/ 2021,"35,850"
03/ 02/ 2021,"35,850"
04/ 02/ 2021,"35,850"
05/ 02/ 2021,"37,000"
08/ 02/ 2021,"39,150"
09/ 02/ 2021,"39,150"
10/ 02/ 2021,"40,850"
11/ 02/ 2021,"40,850"
12/ 02/ 2021,-
15/ 02/ 2021,"41,650"
16/ 02/ 2021,"41,650"
17/ 02/ 2021,"41,650"
18/ 02/ 2021,"41,650"
19/ 02/ 2021,"41,650"
22/ 02/ 2021,"42,150"
23/ 02/ 2021,"42,150"
24/ 02/ 2021,"42,150"
25/ 02/ 2021,"42,150"
26/ 02/ 2021,"42,150"
01/ 03/ 2021,"45,000"
02/ 03/ 2021,"45,000"
03/ 03/ 2021,"45,000"
04/ 03/ 2021,"45,000"
05/ 03/ 2021,"44,150"
08/ 03/ 2021,"43,850"
09/ 03/ 2021,"43,850"
10/ 03/ 2021,"43,850"
11/ 03/ 2021,-
12/ 03/ 2021,"43,850"
15/ 03/ 2021,"42,150"
16/ 03/ 2021,"41,650"
17/ 03/ 2021,"41,650"
18/ 03/ 2021,"41,650"
19/ 03/ 2021,"41,650"
22/ 03/ 2021,"40,850"
23/ 03/ 2021,"40,000"
24/ 03/ 2021,"39,150"
25/ 03/ 2021,"39,150"
26/ 03/ 2021,"39,150"
29/ 03/ 2021,"38,350"
30/ 03/ 2021,"38,350"
31/ 03/ 2021,"38,350"
01/ 04/ 2021,"38,350"
02/ 04/ 2021,-
05/ 04/ 2021,"36,650"
06/ 04/ 2021,"36,650"
07/ 04/ 2021,"36,650"
08/ 04/ 2021,"36,650"
09/ 04/ 2021,"36,650"
12/ 04/ 2021,"40,000"
13/ 04/ 2021,"39,150"
14/ 04/ 2021,"40,000"
15/ 04/ 2021,"40,000"
16/ 04/ 2021,"40,000"
19/ 04/ 2021,"40,000"
20/ 04/ 2021,"39,150"
21/ 04/ 2021,"39,150"
22/ 04/ 2021,"37,500"
23/ 04/ 2021,"37,500"
26/ 04/ 2021,"36,350"
27/ 04/ 2021,"36,350"
28/ 04/ 2021,"36,350"
29/ 04/ 2021,"36,350"
30/ 04/ 2021,"36,350"
03/ 05/ 2021,"37,150"
04/ 05/ 2021,"36,350"
05/ 05/ 2021,"36,350"
06/ 05/ 2021,"36,350"
07/ 05/ 2021,"36,350"
10/ 05/ 2021,"40,850"
11/ 05/ 2021,"41,650"
12/ 05/ 2021,-
13/ 05/ 2021,-
14/ 05/ 2021,-
17/ 05/ 2021,"37,500"
18/ 05/ 2021,"37,500"
19/ 05/ 2021,"37,500"
20/ 05/ 2021,"37,500"
21/ 05/ 2021,"37,500"
24/ 05/ 2021,"35,000"
25/ 05/ 2021,"34,150"
26/ 05/ 2021,-
27/ 05/ 2021,"34,150"
28/ 05/ 2021,"34,150"
31/ 05/ 2021,"35,000"
01/ 06/ 2021,-
02/ 06/ 2021,"35,000"
03/ 06/ 2021,"35,000"
04/ 06/ 2021,"35,000"
07/ 06/ 2021,"35,000"
08/ 06/ 2021,"35,000"
09/ 06/ 2021,"35,000"
10/ 06/ 2021,"35,000"
11/ 06/ 2021,"35,000"
14/ 06/ 2021,"35,000"
15/ 06/ 2021,"35,850"
16/ 06/ 2021,"35,850"
17/ 06/ 2021,"35,850"
18/ 06/ 2021,"35,850"
21/ 06/ 2021,"35,000"
22/ 06/ 2021,"35,000"
23/ 06/ 2021,"35,000"
24/ 06/ 2021,"35,850"
25/ 06/ 2021,"35,850"
28/ 06/ 2021,"35,850"
29/ 06/ 2021,"35,850"
30/ 06/ 2021,"35,850"
01/ 07/ 2021,"35,850"
02/ 07/ 2021,"35,850"
05/ 07/ 2021,"36,350"
06/ 07/ 2021,"36,350"
07/ 07/ 2021,"37,150"
08/ 07/ 2021,"37,150"
09/ 07/ 2021,"37,150"
12/ 07/ 2021,"37,500"
13/ 07/ 2021,"37,500"
14/ 07/ 2021,"36,650"
15/ 07/ 2021,"36,650"
16/ 07/ 2021,"36,650"
19/ 07/ 2021,"40,000"
20/ 07/ 2021,-
21/ 07/ 2021,"39,150"
22/ 07/ 2021,"39,150"
23/ 07/ 2021,"39,150"
26/ 07/ 2021,"38,350"
27/ 07/ 2021,"38,350"
28/ 07/ 2021,"38,350"
29/ 07/ 2021,"38,350"
30/ 07/ 2021,"38,350"
02/ 08/ 2021,"36,350"
03/ 08/ 2021,"36,350"
04/ 08/ 2021,"36,350"
05/ 08/ 2021,"36,350"
06/ 08/ 2021,"36,350"
09/ 08/ 2021,"36,350"
10/ 08/ 2021,"36,350"
11/ 08/ 2021,-
12/ 08/ 2021,"36,350"
13/ 08/ 2021,"36,350"
16/ 08/ 2021,"37,150"
17/ 08/ 2021,-
18/ 08/ 2021,"36,350"
19/ 08/ 2021,"36,350"
20/ 08/ 2021,"36,350"
23/ 08/ 2021,"34,150"
24/ 08/ 2021,"34,150"
25/ 08/ 2021,"34,150"
26/ 08/ 2021,"34,150"
27/ 08/ 2021,"34,150"
30/ 08/ 2021,"32,850"
31/ 08/ 2021,"32,850"
01/ 09/ 2021,"32,850"
02/ 09/ 2021,"32,850"
03/ 09/ 2021,"32,850"
06/ 09/ 2021,"32,500"
07/ 09/ 2021,"32,500"
08/ 09/ 2021,"32,500"
09/ 09/ 2021,"32,500"
10/ 09/ 2021,"31,650"
13/ 09/ 2021,"30,850"
14/ 09/ 2021,"30,850"
15/ 09/ 2021,"30,850"
16/ 09/ 2021,"30,850"
17/ 09/ 2021,"30,850"
20/ 09/ 2021,"32,000"
21/ 09/ 2021,"32,000"
22/ 09/ 2021,"32,000"
23/ 09/ 2021,"32,000"
24/ 09/ 2021,"32,000"
27/ 09/ 2021,"31,150"
28/ 09/ 2021,"31,150"
29/ 09/ 2021,"31,150"
30/ 09/ 2021,"31,150"
01/ 10/ 2021,"31,150"
04/ 10/ 2021,"31,150"
05/ 10/ 2021,"31,150"
06/ 10/ 2021,"31,150"
07/ 10/ 2021,"33,650"
08/ 10/ 2021,"33,650"
11/ 10/ 2021,"33,350"
12/ 10/ 2021,"33,350"
13/ 10/ 2021,"33,350"
14/ 10/ 2021,"33,350"
15/ 10/ 2021,"33,350"
18/ 10/ 2021,"32,500"
19/ 10/ 2021,"32,500"
20/ 10/ 2021,-
21/ 10/ 2021,"32,500"
22/ 10/ 2021,"32,500"
25/ 10/ 2021,"32,500"
26/ 10/ 2021,"32,500"
27/ 10/ 2021,"32,500"
28/ 10/ 2021,"32,500"
29/ 10/ 2021,"32,500"
01/ 11/ 2021,"32,500"
02/ 11/ 2021,"32,500"
03/ 11/ 2021,"32,500"
04/ 11/ 2021,"32,500"
05/ 11/ 2021,"32,500"
08/ 11/ 2021,"32,500"
09/ 11/ 2021,"32,500"
10/ 11/ 2021,"32,500"
11/ 11/ 2021,"32,500"
12/ 11/ 2021,"32,500"
15/ 11/ 2021,"32,500"
16/ 11/ 2021,"32,500"
17/ 11/ 2021,"32,500"
18/ 11/ 2021,"31,650"
19/ 11/ 2021,"31,650"
22/ 11/ 2021,"27,500"
23/ 11/ 2021,"26,650"
24/ 11/ 2021,"26,650"
25/ 11/ 2021,"26,650"
26/ 11/ 2021,"26,650"
29/ 11/ 2021,"28,350"
30/ 11/ 2021,"28,350"
01/ 12/ 2021,"27,500"
02/ 12/ 2021,"27,150"
03/ 12/ 2021,"27,500"
06/ 12/ 2021,"29,650"
07/ 12/ 2021,"29,650"
08/ 12/ 2021,"29,650"
09/ 12/ 2021,"30,000"
10/ 12/ 2021,"30,350"
13/ 12/ 2021,"30,350"
14/ 12/ 2021,"30,350"
15/ 12/ 2021,"30,350"
16/ 12/ 2021,"30,350"
17/ 12/ 2021,"31,150"
20/ 12/ 2021,"32,000"
21/ 12/ 2021,"32,850"
22/ 12/ 2021,"34,150"
23/ 12/ 2021,"34,150"
24/ 12/ 2021,"34,150"
27/ 12/ 2021,"34,150"
28/ 12/ 2021,"34,150"
29/ 12/ 2021,"34,150"
30/ 12/ 2021,"33,350"
31/ 12/ 2021,"34,150"
03/ 01/ 2022,"32,500"
04/ 01/ 2022,"32,500"
05/ 01/ 2022,"32,500"
06/ 01/ 2022,"32,500"
07/ 01/ 2022,"32,500"
10/ 01/ 2022,"31,250"
11/ 01/ 2022,"30,850"
12/ 01/ 2022,"30,850"
13/ 01/ 2022,"30,850"
14/ 01/ 2022,"30,850"
17/ 01/ 2022,"31,650"
18/ 01/ 2022,"31,650"
19/ 01/ 2022,"31,650"
20/ 01/ 2022,"31,650"
21/ 01/ 2022,"31,650"
24/ 01/ 2022,"31,650"
25/ 01/ 2022,"31,650"
26/ 01/ 2022,"31,650"
27/ 01/ 2022,"31,650"
28/ 01/ 2022,"31,650"
31/ 01/ 2022,"33,350"
01/ 02/ 2022,-
02/ 02/ 2022,"34,150"
03/ 02/ 2022,"35,000"
04/ 02/ 2022,"35,000"
07/ 02/ 2022,"35,850"
08/ 02/ 2022,"35,850"
09/ 02/ 2022,"36,650"
10/ 02/ 2022,"40,000"
11/ 02/ 2022,"40,000"
14/ 02/ 2022,"44,150"
15/ 02/ 2022,"44,150"
16/ 02/ 2022,"44,150"
17/ 02/ 2022,"44,150"
18/ 02/ 2022,"44,150"
21/ 02/ 2022,"43,350"
22/ 02/ 2022,"43,350"
23/ 02/ 2022,"45,000"
24/ 02/ 2022,"42,500"
25/ 02/ 2022,"42,500"
28/ 02/ 2022,-
01/ 03/ 2022,"43,350"
02/ 03/ 2022,"43,350"
03/ 03/ 2022,-
04/ 03/ 2022,"42,500"
07/ 03/ 2022,"41,650"
08/ 03/ 2022,"41,650"
09/ 03/ 2022,"41,650"
10/ 03/ 2022,"38,350"
11/ 03/ 2022,"38,350"
14/ 03/ 2022,"38,350"
15/ 03/ 2022,"38,350"
16/ 03/ 2022,"37,500"
17/ 03/ 2022,"37,500"
18/ 03/ 2022,"37,500"
21/ 03/ 2022,"37,500"
22/ 03/ 2022,"37,500"
23/ 03/ 2022,"37,500"
24/ 03/ 2022,"36,650"
25/ 03/ 2022,"36,650"
28/ 03/ 2022,"36,650"
29/ 03/ 2022,"36,650"
30/ 03/ 2022,"36,650"
31/ 03/ 2022,"37,500"
01/ 04/ 2022,"37,500"
04/ 04/ 2022,"38,350"
05/ 04/ 2022,"39,150"
06/ 04/ 2022,"39,150"
07/ 04/ 2022,"39,150"
08/ 04/ 2022,"36,650"
11/ 04/ 2022,"36,350"
12/ 04/ 2022,"36,350"
13/ 04/ 2022,"37,150"
14/ 04/ 2022,"38,000"
15/ 04/ 2022,-
18/ 04/ 2022,"39,650"
19/ 04/ 2022,"39,650"
20/ 04/ 2022,"39,650"
21/ 04/ 2022,"39,650"
22/ 04/ 2022,"39,650"
25/ 04/ 2022,"45,000"
26/ 04/ 2022,"46,650"
27/ 04/ 2022,"45,850"
28/ 04/ 2022,"45,850"
29/ 04/ 2022,-
02/ 05/ 2022,-
03/ 05/ 2022,-
04/ 05/ 2022,-
05/ 05/ 2022,-
06/ 05/ 2022,-
09/ 05/ 2022,"40,000"
10/ 05/ 2022,"40,000"
11/ 05/ 2022,"40,000"
12/ 05/ 2022,"45,000"
13/ 05/ 2022,"47,500"
16/ 05/ 2022,-
17/ 05/ 2022,"50,850"
18/ 05/ 2022,"50,850"
19/ 05/ 2022,"50,850"
20/ 05/ 2022,"50,850"
23/ 05/ 2022,"52,500"
24/ 05/ 2022,"51,650"
25/ 05/ 2022,"51,650"
26/ 05/ 2022,-
27/ 05/ 2022,"51,650"
30/ 05/ 2022,"50,850"
31/ 05/ 2022,"50,850"
01/ 06/ 2022,-
02/ 06/ 2022,"50,850"
03/ 06/ 2022,"50,850"
06/ 06/ 2022,"55,000"
07/ 06/ 2022,"56,650"
08/ 06/ 2022,"57,500"
09/ 06/ 2022,"57,500"
10/ 06/ 2022,"57,500"
13/ 06/ 2022,"58,350"
14/ 06/ 2022,"59,150"
15/ 06/ 2022,"59,150"
16/ 06/ 2022,"60,850"
17/ 06/ 2022,"60,850"
20/ 06/ 2022,"60,850"
21/ 06/ 2022,"60,850"
22/ 06/ 2022,"60,850"
23/ 06/ 2022,"60,850"
24/ 06/ 2022,"60,850"
27/ 06/ 2022,"60,850"
28/ 06/ 2022,"68,350"
29/ 06/ 2022,"75,000"
30/ 06/ 2022,"75,000"
01/ 07/ 2022,"75,000"
04/ 07/ 2022,"81,650"
05/ 07/ 2022,"81,650"
06/ 07/ 2022,"80,850"
07/ 07/ 2022,"77,150"
08/ 07/ 2022,"80,850"
11/ 07/ 2022,"76,650"
12/ 07/ 2022,"77,200"
13/ 07/ 2022,"75,000"
14/ 07/ 2022,"75,000"
15/ 07/ 2022,"73,750"
18/ 07/ 2022,"73,350"
19/ 07/ 2022,"70,850"
20/ 07/ 2022,"70,850"
21/ 07/ 2022,"66,650"
22/ 07/ 2022,"65,850"
25/ 07/ 2022,"50,850"
26/ 07/ 2022,"50,850"
27/ 07/ 2022,"50,850"
28/ 07/ 2022,"49,150"
29/ 07/ 2022,"49,150"
01/ 08/ 2022,"47,500"
02/ 08/ 2022,"47,500"
03/ 08/ 2022,"47,500"
04/ 08/ 2022,"47,500"
05/ 08/ 2022,"47,500"
08/ 08/ 2022,"45,000"
09/ 08/ 2022,"44,700"
10/ 08/ 2022,"45,000"
11/ 08/ 2022,"42,500"
12/ 08/ 2022,"41,650"
15/ 08/ 2022,"39,150"
16/ 08/ 2022,"39,150"
17/ 08/ 2022,-
18/ 08/ 2022,"39,150"
19/ 08/ 2022,"39,150"
22/ 08/ 2022,"38,350"
23/ 08/ 2022,"41,000"
24/ 08/ 2022,"38,350"
25/ 08/ 2022,"37,500"
26/ 08/ 2022,"38,250"
29/ 08/ 2022,"37,500"
30/ 08/ 2022,"37,500"
31/ 08/ 2022,"39,150"
01/ 09/ 2022,"39,150"
02/ 09/ 2022,"39,150"
05/ 09/ 2022,"40,850"
06/ 09/ 2022,"39,900"
07/ 09/ 2022,"41,650"
08/ 09/ 2022,"41,650"
09/ 09/ 2022,"41,650"
12/ 09/ 2022,"39,150"
13/ 09/ 2022,"44,150"
14/ 09/ 2022,"39,150"
15/ 09/ 2022,"39,150"
16/ 09/ 2022,"38,000"
19/ 09/ 2022,"38,850"
20/ 09/ 2022,"38,200"
21/ 09/ 2022,"38,850"
22/ 09/ 2022,"38,850"
23/ 09/ 2022,"38,850"
26/ 09/ 2022,"38,350"
27/ 09/ 2022,"40,850"
28/ 09/ 2022,"38,350"
29/ 09/ 2022,"37,500"
30/ 09/ 2022,"37,500"
03/ 10/ 2022,"38,350"
04/ 10/ 2022,"38,350"
05/ 10/ 2022,"38,350"
06/ 10/ 2022,"38,350"
07/ 10/ 2022,"38,350"
