Tanggal,Kurs
2024-10-01,15204
2024-09-30,15144
2024-09-27,15138
2024-09-26,15171
2024-09-25,15092
2024-09-24,15186
2024-09-23,15191
2024-09-20,15100
2024-09-19,15287
2024-09-18,15350
2024-09-17,15338
2024-09-13,15405
2024-09-12,15421
2024-09-11,15415
2024-09-10,15447
2024-09-09,15446
2024-09-06,15372
2024-09-05,15410
2024-09-04,15490
2024-09-03,15557
2024-09-02,15536
2024-08-30,15473
2024-08-29,15409
2024-08-28,15476
2024-08-27,15509
2024-08-26,15380
2024-08-23,15554
2024-08-22,15579
2024-08-21,15456
2024-08-20,15480
2024-08-19,15591
2024-08-16,15716
2024-08-15,15687
2024-08-14,15691
2024-08-13,15885
2024-08-12,15963
2024-08-09,15914
2024-08-08,15952
2024-08-07,16100
2024-08-06,16183
2024-08-05,16154
2024-08-02,16234
2024-08-01,16243
2024-07-31,16294
2024-07-30,16320
2024-07-29,16286
2024-07-26,16294
2024-07-25,16268
2024-07-24,16224
2024-07-23,16204
2024-07-22,16228
2024-07-19,16199
2024-07-18,16160
2024-07-17,16129
2024-07-16,16203
2024-07-15,16174
2024-07-12,16154
2024-07-11,16200
2024-07-10,16256
2024-07-09,16281
2024-07-08,16265
2024-07-05,16312
2024-07-04,16341
2024-07-03,16387
2024-07-02,16384
2024-07-01,16355
2024-06-28,16394
2024-06-27,16421
2024-06-26,16435
2024-06-25,16379
2024-06-24,16431
2024-06-21,16458
2024-06-20,16420
2024-06-19,16368
2024-06-14,16374
2024-06-13,16286
2024-06-12,16297
2024-06-11,16295
2024-06-10,16290
2024-06-07,16218
2024-06-06,16279
2024-06-05,16282
2024-06-04,16220
2024-06-03,16225
2024-05-31,16251
2024-05-30,16253
2024-05-29,16160
2024-05-28,16095
2024-05-27,16064
2024-05-22,15995
2024-05-21,16024
2024-05-20,15980
2024-05-17,15978
2024-05-16,15944
2024-05-15,16070
2024-05-14,16131
2024-05-13,16085
2024-05-08,16081
2024-05-07,16054
2024-05-06,16025
2024-05-03,16094
2024-05-02,16202
2024-04-30,16276
2024-04-29,16249
2024-04-26,16222
2024-04-25,16208
2024-04-24,16161
2024-04-23,16244
2024-04-22,16224
2024-04-19,16280
2024-04-18,16177
2024-04-17,16240
2024-04-16,16176
2024-04-05,15873
2024-04-04,15907
2024-04-03,15923
2024-04-02,15934
2024-04-01,15909
2024-03-28,15873
2024-03-27,15853
2024-03-26,15797
2024-03-25,15795
2024-03-22,15773
2024-03-21,15662
2024-03-20,15727
2024-03-19,15712
2024-03-18,15672
2024-03-15,15624
2024-03-14,15582
2024-03-13,15576
2024-03-08,15603
2024-03-07,15658
2024-03-06,15723
2024-03-05,15756
2024-03-04,15723
2024-03-01,15696
2024-02-29,15715
2024-02-28,15673
2024-02-27,15655
2024-02-26,15635
2024-02-23,15589
2024-02-22,15630
2024-02-21,15658
2024-02-20,15659
2024-02-19,15630
2024-02-16,15654
2024-02-15,15606
2024-02-13,15585
2024-02-12,15612
2024-02-07,15685
2024-02-06,15734
2024-02-05,15705
2024-02-02,15688
2024-02-01,15775
2024-01-31,15803
2024-01-30,15796
2024-01-29,15825
2024-01-26,15829
2024-01-25,15767
2024-01-24,15719
2024-01-23,15656
2024-01-22,15627
2024-01-19,15628
2024-01-18,15630
2024-01-17,15639
2024-01-16,15592
2024-01-15,15555
2024-01-12,15559
2024-01-11,15558
2024-01-10,15568
2024-01-09,15518
2024-01-08,15522
2024-01-05,15518
2024-01-04,15525
2024-01-03,15495
2024-01-02,15473
2023-12-29,15439
2023-12-28,15416
2023-12-27,15414
2023-12-22,15489
2023-12-21,15533
2023-12-20,15512
2023-12-19,15506
2023-12-18,15516
2023-12-15,15503
2023-12-14,15493
2023-12-13,15629
2023-12-12,15631
2023-12-11,15614
2023-12-08,15500
2023-12-07,15536
2023-12-06,15504
2023-12-05,15504
2023-12-04,15446
2023-12-01,15524
2023-11-30,15484
2023-11-29,15384
2023-11-28,15450
2023-11-27,15527
2023-11-24,15587
2023-11-23,15593
2023-11-22,15584
2023-11-21,15436
2023-11-20,15419
2023-11-17,15504
2023-11-16,15595
2023-11-15,15503
2023-11-14,15699
2023-11-13,15713
2023-11-10,15693
2023-11-09,15649
2023-11-08,15629
2023-11-07,15593
2023-11-06,15550
2023-11-03,15771
2023-11-02,15861
2023-11-01,15946
2023-10-31,15897
2023-10-30,15916
2023-10-27,15941
2023-10-26,15933
2023-10-25,15871
2023-10-24,15869
2023-10-23,15943
2023-10-20,15856
2023-10-19,15838
2023-10-18,15731
2023-10-17,15718
2023-10-16,15716
2023-10-13,15709
2023-10-12,15702
2023-10-11,15710
2023-10-10,15708
2023-10-09,15675
2023-10-06,15628
2023-10-05,15601
2023-10-04,15636
2023-10-03,15600
2023-10-02,15519
2023-09-29,15487
2023-09-27,15526
2023-09-26,15464
2023-09-25,15399
2023-09-22,15383
2023-09-21,15397
2023-09-20,15396
2023-09-19,15381
2023-09-18,15373
2023-09-15,15367
2023-09-14,15357
2023-09-13,15367
2023-09-12,15344
2023-09-11,15352
2023-09-08,15341
2023-09-07,15334
2023-09-06,15307
2023-09-05,15260
2023-09-04,15247
2023-09-01,15252
2023-08-31,15237
2023-08-30,15239
2023-08-29,15263
2023-08-28,15294
2023-08-25,15297
2023-08-24,15253
2023-08-23,15319
2023-08-22,15326
2023-08-21,15329
2023-08-18,15308
2023-08-16,15308
2023-08-15,15346
2023-08-14,15323
2023-08-11,15225
2023-08-10,15204
2023-08-09,15206
2023-08-08,15229
2023-08-07,15178
2023-08-04,15168
2023-08-03,15198
2023-08-02,15171
2023-08-01,15117
2023-07-31,15092
2023-07-28,15083
2023-07-27,15003
2023-07-26,15032
2023-07-25,15007
2023-07-24,15028
2023-07-21,15026
2023-07-20,14991
2023-07-18,14994
2023-07-17,15007
2023-07-14,14945
2023-07-13,14978
2023-07-12,15084
2023-07-11,15162
2023-07-10,15192
2023-07-07,15136
2023-07-06,15062
2023-07-05,15013
2023-07-04,15018
2023-07-03,15034
2023-06-27,15000
2023-06-26,15026
2023-06-23,14998
2023-06-22,14918
2023-06-21,14982
2023-06-20,15040
2023-06-19,14994
2023-06-16,14945
2023-06-15,14943
2023-06-14,14895
2023-06-13,14868
2023-06-12,14874
2023-06-09,14853
2023-06-08,14903
2023-06-07,14875
2023-06-06,14839
2023-06-05,14888
2023-05-31,15003
2023-05-30,14969
2023-05-29,14973
2023-05-26,14959
2023-05-25,14952
2023-05-24,14905
2023-05-23,14878
2023-05-22,14897
2023-05-19,14936
2023-05-17,14875
2023-05-16,14810
2023-05-15,14812
2023-05-12,14752
2023-05-11,14722
2023-05-10,14746
2023-05-09,14757
2023-05-08,14709
2023-05-05,14674
2023-05-04,14632
2023-05-03,14706
2023-05-02,14703
2023-04-28,14661
2023-04-27,14751
2023-04-26,14882
2023-04-18,14855
2023-04-17,14773
2023-04-14,14666
2023-04-13,14792
2023-04-12,14866
2023-04-11,14888
2023-04-10,14905
2023-04-06,14943
2023-04-05,14933
2023-04-04,14913
2023-04-03,14990
2023-03-31,14977
2023-03-30,15062
2023-03-29,15094
2023-03-28,15088
2023-03-27,15174
2023-03-24,15189
2023-03-21,15349
2023-03-20,15372
2023-03-17,15364
2023-03-16,15418
2023-03-15,15365
2023-03-14,15380
2023-03-13,15374
2023-03-10,15468
2023-03-09,15438
2023-03-08,15451
2023-03-07,15359
2023-03-06,15301
2023-03-03,15306
2023-03-02,15273
2023-03-01,15250
2023-02-28,15240
2023-02-27,15274
2023-02-24,15216
2023-02-23,15187
2023-02-22,15218
2023-02-21,15179
2023-02-20,15168
2023-02-17,15199
2023-02-16,15176
2023-02-15,15194
2023-02-14,15168
2023-02-13,15216
2023-02-10,15140
2023-02-09,15120
2023-02-08,15122
2023-02-07,15139
2023-02-06,15055
2023-02-03,14898
2023-02-02,14868
2023-02-01,14991
2023-01-31,14992
2023-01-30,14979
2023-01-27,14978
2023-01-26,14964
2023-01-25,14958
2023-01-24,14930
2023-01-20,15121
2023-01-19,15113
2023-01-18,15137
2023-01-17,15154
2023-01-16,15019
2023-01-13,15177
2023-01-12,15366
2023-01-11,15527
2023-01-10,15589
2023-01-09,15574
2023-01-06,15635
2023-01-05,15610
2023-01-04,15615
2023-01-03,15590
2023-01-02,15572
2022-12-30,15592
2022-12-29,15731
2022-12-28,15703
2022-12-27,15659
2022-12-26,15636
2022-12-23,15605
2022-12-22,15594
2022-12-21,15601
2022-12-20,15608
2022-12-19,15621
2022-12-16,15617
2022-12-15,15630
2022-12-14,15619
2022-12-13,15661
2022-12-12,15642
2022-12-09,15587
2022-12-08,15624
2022-12-07,15619
2022-12-06,15576
2022-12-05,15409
2022-12-02,15429
2022-12-01,15617
2022-11-30,15742
2022-11-29,15737
2022-11-28,15729
2022-11-25,15668
2022-11-24,15647
2022-11-23,15700
2022-11-22,15716
2022-11-21,15707
2022-11-18,15692
2022-11-17,15687
2022-11-16,15610
2022-11-15,15564
2022-11-14,15499
2022-11-11,15493
2022-11-10,15701
2022-11-09,15654
2022-11-08,15684
2022-11-07,15692
2022-11-04,15736
2022-11-03,15681
2022-11-02,15652
2022-11-01,15647
2022-10-31,15596
2022-10-28,15542
2022-10-27,15573
2022-10-26,15596
2022-10-25,15616
2022-10-24,15590
2022-10-21,15610
2022-10-20,15579
2022-10-19,15491
2022-10-18,15469
2022-10-17,15480
2022-10-14,15390
2022-10-13,15357
2022-10-12,15373
2022-10-11,15362
2022-10-10,15299
2022-10-07,15246
2022-10-06,15197
2022-10-05,15196
2022-10-04,15276
2022-10-03,15293
2022-09-30,15232
2022-09-29,15247
2022-09-28,15243
2022-09-27,15155
2022-09-26,15119
2022-09-23,15035
2022-09-22,15033
2022-09-21,15011
2022-09-20,14975
2022-09-19,14980
2022-09-16,14939
2022-09-15,14899
2022-09-14,14923
2022-09-13,14861
2022-09-12,14839
2022-09-09,14846
2022-09-08,14905
2022-09-07,14927
2022-09-06,14885
2022-09-05,14920
2022-09-02,14900
2022-09-01,14884
2022-08-31,14853
2022-08-30,14875
2022-08-29,14887
2022-08-26,14814
2022-08-25,14827
2022-08-24,14851
2022-08-23,14893
2022-08-22,14882
2022-08-19,14858
2022-08-18,14822
2022-08-16,14767
2022-08-15,14727
2022-08-12,14688
2022-08-11,14799
2022-08-10,14875
2022-08-09,14862
2022-08-08,14915
2022-08-05,14904
2022-08-04,14929
2022-08-03,14917
2022-08-02,14888
2022-08-01,14874
2022-07-29,14860
2022-07-28,14958
2022-07-27,15020
2022-07-26,14984
2022-07-25,14992
2022-07-22,15024
2022-07-21,15017
2022-07-20,14984
2022-07-19,14992
2022-07-18,14986
2022-07-15,14999
2022-07-14,14999
2022-07-13,14985
2022-07-12,14993
2022-07-11,14969
2022-07-08,14981
2022-07-07,14986
2022-07-06,15015
2022-07-05,14990
2022-07-04,14960
2022-07-01,14956
2022-06-30,14882
2022-06-29,14848
2022-06-28,14837
2022-06-27,14802
2022-06-24,14846
2022-06-23,14835
2022-06-22,14860
2022-06-21,14804
2022-06-20,14836
2022-06-17,14828
2022-06-16,14741
2022-06-15,14746
2022-06-14,14729
2022-06-13,14672
2022-06-10,14569
2022-06-09,14555
2022-06-08,14477
2022-06-07,14464
2022-06-06,14462
2022-06-03,14431
2022-06-02,14526
2022-05-31,14592
2022-05-30,14544
2022-05-27,14578
2022-05-25,14645
2022-05-24,14653
2022-05-23,14665
2022-05-20,14661
2022-05-19,14731
2022-05-18,14682
2022-05-17,14651
2022-05-13,14619
2022-05-12,14585
2022-05-11,14546
2022-05-10,14546
2022-05-09,14534
2022-04-28,14480
2022-04-27,14418
2022-04-26,14412
2022-04-25,14452
2022-04-22,14361
2022-04-21,14348
2022-04-20,14351
2022-04-19,14347
2022-04-18,14356
2022-04-14,14349
2022-04-13,14359
2022-04-12,14364
2022-04-11,14370
2022-04-08,14365
2022-04-07,14359
2022-04-06,14364
2022-04-05,14348
2022-04-04,14362
2022-04-01,14364
2022-03-31,14357
2022-03-30,14349
2022-03-29,14364
2022-03-28,14360
2022-03-25,14341
2022-03-24,14361
2022-03-23,14351
2022-03-22,14358
2022-03-21,14341
2022-03-18,14340
2022-03-17,14290
2022-03-16,14311
2022-03-15,14321
2022-03-14,14328
2022-03-11,14306
2022-03-10,14298
2022-03-09,14371
2022-03-08,14394
2022-03-07,14411
2022-03-04,14383
2022-03-02,14373
2022-03-01,14350
2022-02-25,14369
2022-02-24,14371
2022-02-23,14355
2022-02-22,14362
2022-02-21,14329
2022-02-18,14339
2022-02-17,14301
2022-02-16,14278
2022-02-15,14292
2022-02-14,14338
2022-02-11,14359
2022-02-10,14344
2022-02-09,14366
2022-02-08,14385
2022-02-07,14404
2022-02-04,14376
2022-02-03,14381
2022-02-02,14347
2022-01-31,14392
2022-01-28,14381
2022-01-27,14385
2022-01-26,14346
2022-01-25,14358
2022-01-24,14327
2022-01-21,14347
2022-01-20,14354
2022-01-19,14370
2022-01-18,14325
2022-01-17,14323
2022-01-14,14310
2022-01-13,14311
2022-01-12,14302
2022-01-11,14299
2022-01-10,14323
2022-01-07,14360
2022-01-06,14396
2022-01-05,14365
2022-01-04,14310
2022-01-03,14270
2021-12-31,14278
2021-12-30,14269
2021-12-29,14265
2021-12-28,14237
2021-12-27,14225
2021-12-24,14219
2021-12-23,14251
2021-12-22,14264
2021-12-21,14349
2021-12-20,14384
2021-12-17,14343
2021-12-16,14343
2021-12-15,14337
2021-12-14,14348
2021-12-13,14346
2021-12-10,14378
2021-12-09,14351
2021-12-08,14348
2021-12-07,14408
2021-12-06,14441
2021-12-03,14408
2021-12-02,14378
2021-12-01,14353
2021-11-30,14320
2021-11-29,14340
2021-11-26,14280
2021-11-25,14280
2021-11-24,14272
2021-11-23,14272
2021-11-22,14255
2021-11-19,14237
2021-11-18,14231
2021-11-17,14259
2021-11-16,14211
2021-11-15,14206
2021-11-12,14243
2021-11-11,14288
2021-11-10,14253
2021-11-09,14233
2021-11-08,14268
2021-11-05,14374
2021-11-04,14327
2021-11-03,14301
2021-11-02,14261
2021-11-01,14235
2021-10-29,14171
2021-10-28,14199
2021-10-27,14184
2021-10-26,14165
2021-10-25,14183
2021-10-22,14162
2021-10-21,14133
2021-10-19,14080
2021-10-18,14096
2021-10-15,14084
2021-10-14,14155
2021-10-13,14221
2021-10-12,14217
2021-10-11,14210
2021-10-08,14225
2021-10-07,14238
2021-10-06,14245
2021-10-05,14260
2021-10-04,14276
2021-10-01,14315
2021-09-30,14321
2021-09-29,14307
2021-09-28,14269
2021-09-27,14258
2021-09-24,14250
2021-09-23,14256
2021-09-22,14249
2021-09-21,14244
2021-09-20,14251
2021-09-17,14233
2021-09-16,14238
2021-09-15,14252
2021-09-14,14257
2021-09-13,14260
2021-09-10,14225
2021-09-09,14272
2021-09-08,14266
2021-09-07,14195
2021-09-06,14239
2021-09-03,14261
2021-09-02,14281
2021-09-01,14284
2021-08-31,14306
2021-08-30,14374
2021-08-27,14431
2021-08-26,14423
2021-08-25,14408
2021-08-24,14391
2021-08-23,14415
2021-08-20,14464
2021-08-19,14414
2021-08-18,14384
2021-08-16,14383
2021-08-13,14388
2021-08-12,14389
2021-08-10,14397
2021-08-09,14378
2021-08-06,14369
2021-08-05,14342
2021-08-04,14324
2021-08-03,14362
2021-08-02,14456
2021-07-30,14462
2021-07-29,14491
2021-07-28,14498
2021-07-27,14489
2021-07-26,14494
2021-07-23,14501
2021-07-22,14508
2021-07-21,14554
2021-07-19,14524
2021-07-16,14517
2021-07-15,14503
2021-07-14,14493
2021-07-13,14486
2021-07-12,14486
2021-07-09,14548
2021-07-08,14548
2021-07-07,14500
2021-07-06,14468
2021-07-05,14482
2021-07-02,14564
2021-07-01,14539
2021-06-30,14542
2021-06-29,14496
2021-06-28,14472
2021-06-25,14447
2021-06-24,14462
2021-06-23,14454
2021-06-22,14421
2021-06-21,14453
2021-06-18,14403
2021-06-17,14378
2021-06-16,14257
2021-06-15,14244
2021-06-14,14222
2021-06-11,14206
2021-06-10,14240
2021-06-09,14262
2021-06-08,14262
2021-06-07,14271
2021-06-04,14316
2021-06-03,14297
2021-06-02,14276
2021-05-31,14292
2021-05-28,14310
2021-05-27,14312
2021-05-25,14335
2021-05-24,14362
2021-05-21,14375
2021-05-20,14396
2021-05-19,14313
2021-05-18,14300
2021-05-17,14284
2021-05-11,14203
2021-05-10,14198
2021-05-07,14289
2021-05-06,14364
2021-05-05,14439
2021-05-04,14431
2021-05-03,14467
2021-04-30,14453
2021-04-29,14468
2021-04-28,14510
2021-04-27,14497
2021-04-26,14489
2021-04-23,14548
2021-04-22,14530
2021-04-21,14549
2021-04-20,14508
2021-04-19,14568
2021-04-16,14592
2021-04-15,14646
2021-04-14,14633
2021-04-13,14648
2021-04-12,14631
2021-04-09,14580
2021-04-08,14580
2021-04-07,14513
2021-04-06,14519
2021-04-05,14533
2021-04-01,14577
2021-03-31,14572
2021-03-30,14481
2021-03-29,14434
2021-03-26,14446
2021-03-25,14464
2021-03-24,14455
2021-03-23,14421
2021-03-22,14456
2021-03-19,14476
2021-03-18,14412
2021-03-17,14459
2021-03-16,14424
2021-03-15,14418
2021-03-12,14371
2021-03-10,14421
2021-03-09,14468
2021-03-08,14390
2021-03-05,14371
2021-03-04,14299
2021-03-03,14334
2021-03-02,14307
2021-03-01,14300
2021-02-26,14229
2021-02-25,14104
2021-02-24,14089
2021-02-23,14126
2021-02-22,14098
2021-02-19,14085
2021-02-18,14059
2021-02-17,14019
2021-02-16,13875
2021-02-15,13946
2021-02-11,14011
2021-02-10,13989
2021-02-09,14000
2021-02-08,14000
2021-02-05,14062
2021-02-04,14036
2021-02-03,14017
2021-02-02,14044
2021-02-01,14042
2021-01-29,14084
2021-01-28,14119
2021-01-27,14091
2021-01-26,14086
2021-01-25,14082
2021-01-22,14054
2021-01-21,14039
2021-01-20,14065
2021-01-19,14086
2021-01-18,14080
2021-01-15,14068
2021-01-14,14119
2021-01-13,14109
2021-01-12,14231
2021-01-11,14155
2021-01-08,14058
2021-01-07,13938
2021-01-06,13926
2021-01-05,13945
2021-01-04,13903
2020-12-30,14105
2020-12-29,14169
2020-12-28,14184
2020-12-23,14282
2020-12-22,14218
2020-12-21,14180
2020-12-18,14146
2020-12-17,14152
2020-12-16,14151
2020-12-15,14171
2020-12-14,14158
2020-12-11,14102
2020-12-10,14130
2020-12-08,14164
2020-12-07,14135
2020-12-04,14182
2020-12-03,14177
2020-12-02,14164
2020-12-01,14178
2020-11-30,14128
2020-11-27,14145
2020-11-26,14130
2020-11-25,14169
2020-11-24,14196
2020-11-23,14164
2020-11-20,14228
2020-11-19,14167
2020-11-18,14118
2020-11-17,14073
2020-11-16,14139
2020-11-13,14222
2020-11-12,14187
2020-11-11,14076
2020-11-10,14015
2020-11-09,14172
2020-11-06,14321
2020-11-05,14439
2020-11-04,14557
2020-11-03,14609
2020-11-02,14718
2020-10-27,14690
2020-10-26,14697
2020-10-23,14738
2020-10-22,14697
2020-10-21,14658
2020-10-20,14729
2020-10-19,14741
2020-10-16,14766
2020-10-15,14760
2020-10-14,14780
2020-10-13,14793
2020-10-12,14746
2020-10-09,14737
2020-10-08,14750
2020-10-07,14784
2020-10-06,14712
2020-10-05,14867
2020-10-02,14890
2020-10-01,14876
2020-09-30,14918
2020-09-29,14920
2020-09-28,14959
2020-09-25,14951
2020-09-24,14949
2020-09-23,14835
2020-09-22,14782
2020-09-21,14723
2020-09-18,14768
2020-09-17,14878
2020-09-16,14844
2020-09-15,14870
2020-09-14,14974
2020-09-11,14979
2020-09-10,14871
2020-09-09,14853
2020-09-08,14798
2020-09-07,14754
2020-09-04,14792
2020-09-03,14818
2020-09-02,14804
2020-09-01,14615
2020-08-31,14554
2020-08-28,14702
2020-08-27,14714
2020-08-26,14636
2020-08-25,14632
2020-08-24,14794
2020-08-19,14786
2020-08-18,14907
2020-08-14,14917
2020-08-13,14877
2020-08-12,14777
2020-08-11,14728
2020-08-10,14750
2020-08-07,14647
2020-08-06,14587
2020-08-05,14623
2020-08-04,14697
2020-08-03,14713
