Date,Open,High,Low,Close,Adj Close,Volume
Apr 10, 2020,0.83,1.31,0.69,0.95,0.95,87364276
Apr 11, 2020,0.95,1.05,0.77,0.78,0.78,43862444
Apr 12, 2020,0.79,0.96,0.76,0.88,0.88,38736897
Apr 13, 2020,0.89,0.89,0.77,0.78,0.78,18211285
Apr 14, 2020,0.78,0.8,0.63,0.66,0.66,16747614
Apr 15, 2020,0.67,0.7,0.62,0.65,0.65,13075275
Apr 16, 2020,0.63,0.77,0.63,0.69,0.69,21346031
Apr 17, 2020,0.69,0.72,0.66,0.66,0.66,9870810
Apr 18, 2020,0.66,0.72,0.66,0.68,0.68,9782112
Apr 19, 2020,0.68,0.68,0.6,0.61,0.61,9289670
Apr 20, 2020,0.61,0.64,0.52,0.54,0.54,8342616
Apr 21, 2020,0.54,0.6,0.51,0.59,0.59,9711507
Apr 22, 2020,0.58,0.71,0.57,0.69,0.69,18828400
Apr 23, 2020,0.69,0.7,0.6,0.63,0.63,13485271
Apr 24, 2020,0.62,0.67,0.61,0.63,0.63,9064190
Apr 25, 2020,0.63,0.67,0.62,0.64,0.64,7311905
Apr 26, 2020,0.65,0.69,0.63,0.64,0.64,8320760
Apr 27, 2020,0.64,0.66,0.56,0.57,0.57,7406934
Apr 28, 2020,0.58,0.69,0.57,0.66,0.66,7470201
Apr 29, 2020,0.66,0.78,0.66,0.75,0.75,8801144
Apr 30, 2020,0.75,0.8,0.69,0.69,0.69,5016892
May 01, 2020,0.69,0.74,0.69,0.73,0.73,4164272
May 02, 2020,0.73,0.75,0.71,0.72,0.72,3441356
May 03, 2020,0.71,0.73,0.66,0.68,0.68,3328344
May 04, 2020,0.68,0.71,0.62,0.67,0.67,3443698
May 05, 2020,0.67,0.69,0.63,0.64,0.64,2847469
May 06, 2020,0.64,0.67,0.62,0.62,0.62,2677563
May 07, 2020,0.62,0.63,0.57,0.61,0.61,3355830
May 08, 2020,0.61,0.64,0.59,0.6,0.6,2488195
May 09, 2020,0.6,0.63,0.59,0.6,0.6,2128503
May 10, 2020,0.6,0.61,0.51,0.54,0.54,2327581
May 11, 2020,0.54,0.57,0.51,0.52,0.52,2098481
May 12, 2020,0.51,0.56,0.51,0.54,0.54,2198625
May 13, 2020,0.54,0.56,0.52,0.55,0.55,2326446
May 14, 2020,0.55,0.58,0.55,0.57,0.57,2047897
May 15, 2020,0.57,0.57,0.55,0.56,0.56,1850070
May 16, 2020,0.56,0.61,0.55,0.6,0.6,2300409
May 17, 2020,0.6,0.64,0.59,0.61,0.61,2936428
May 18, 2020,0.61,0.67,0.61,0.65,0.65,3314359
May 19, 2020,0.65,0.65,0.61,0.62,0.62,2380263
May 20, 2020,0.62,0.63,0.58,0.58,0.58,2302926
May 21, 2020,0.58,0.61,0.54,0.61,0.61,2863017
May 22, 2020,0.61,0.68,0.58,0.64,0.64,3411419
May 23, 2020,0.64,0.64,0.59,0.61,0.61,2638524
May 24, 2020,0.61,0.61,0.55,0.55,0.55,2786816
May 25, 2020,0.55,0.65,0.54,0.6,0.6,4509580
May 26, 2020,0.6,0.61,0.57,0.57,0.57,2689697
May 27, 2020,0.57,0.61,0.57,0.59,0.59,2536916
May 28, 2020,0.59,0.59,0.57,0.58,0.58,2662788
May 29, 2020,0.57,0.59,0.57,0.58,0.58,2066857
May 30, 2020,0.58,0.6,0.57,0.59,0.59,2449095
May 31, 2020,0.59,0.59,0.57,0.57,0.57,1892967
Jun 01, 2020,0.57,0.59,0.57,0.58,0.58,2159877
Jun 02, 2020,0.58,0.59,0.55,0.56,0.56,1295757
Jun 03, 2020,0.56,0.59,0.56,0.59,0.59,877446
Jun 04, 2020,0.59,0.59,0.56,0.59,0.59,901641
Jun 05, 2020,0.59,0.7,0.58,0.66,0.66,4322092
Jun 06, 2020,0.66,0.66,0.61,0.62,0.62,1604055
Jun 07, 2020,0.62,0.62,0.59,0.62,0.62,716785
Jun 08, 2020,0.62,0.68,0.61,0.67,0.67,1440234
Jun 09, 2020,0.67,0.67,0.63,0.66,0.66,988327
Jun 10, 2020,0.66,0.67,0.63,0.64,0.64,1096203
Jun 11, 2020,0.64,0.65,0.57,0.57,0.57,1122221
Jun 12, 2020,0.57,0.6,0.57,0.59,0.59,940323
Jun 13, 2020,0.59,0.61,0.59,0.61,0.61,764757
Jun 14, 2020,0.61,0.62,0.58,0.59,0.59,873416
Jun 15, 2020,0.59,0.59,0.55,0.57,0.57,942666
Jun 16, 2020,0.57,0.59,0.57,0.59,0.59,652020
Jun 17, 2020,0.59,0.59,0.57,0.58,0.58,673274
Jun 18, 2020,0.58,0.65,0.58,0.62,0.62,1349341
Jun 19, 2020,0.62,0.84,0.62,0.68,0.68,6577471
Jun 20, 2020,0.68,0.69,0.63,0.64,0.64,1714405
Jun 21, 2020,0.65,0.75,0.64,0.67,0.67,2238347
Jun 22, 2020,0.67,0.74,0.65,0.73,0.73,1620388
Jun 23, 2020,0.73,0.76,0.7,0.71,0.71,1327340
Jun 24, 2020,0.71,0.8,0.69,0.74,0.74,2769054
Jun 25, 2020,0.74,0.76,0.7,0.71,0.71,1751581
Jun 26, 2020,0.71,0.75,0.68,0.74,0.74,1664662
Jun 27, 2020,0.74,0.75,0.68,0.71,0.71,1681428
Jun 28, 2020,0.71,0.84,0.69,0.8,0.8,3412582
Jun 29, 2020,0.8,0.89,0.77,0.85,0.85,2147791
Jun 30, 2020,0.85,1.03,0.85,0.86,0.86,3887548
Jul 01, 2020,0.86,0.9,0.82,0.83,0.83,1772560
Jul 02, 2020,0.83,0.84,0.75,0.78,0.78,1749581
Jul 03, 2020,0.78,0.79,0.76,0.77,0.77,1144958
Jul 04, 2020,0.77,0.82,0.76,0.78,0.78,1644301
Jul 05, 2020,0.78,0.79,0.64,0.69,0.69,3799016
Jul 06, 2020,0.69,0.72,0.69,0.71,0.71,1120773
Jul 07, 2020,0.71,0.78,0.7,0.75,0.75,1700041
Jul 08, 2020,0.75,0.83,0.74,0.8,0.8,2220223
Jul 09, 2020,0.79,0.88,0.76,0.85,0.85,2668724
Jul 10, 2020,0.85,0.94,0.84,0.91,0.91,1856095
Jul 11, 2020,0.91,0.93,0.86,0.92,0.92,1788814
Jul 12, 2020,0.92,1.13,0.91,1.02,1.02,4693371
Jul 13, 2020,1.02,1.29,1.01,1.18,1.18,4062069
Jul 14, 2020,1.17,1.25,1.12,1.15,1.15,2213135
Jul 15, 2020,1.15,1.4,1.14,1.29,1.29,3355229
Jul 16, 2020,1.28,1.37,0.86,0.87,0.87,7486568
Jul 17, 2020,0.87,1.05,0.8,0.98,0.98,8973774
Jul 18, 2020,0.98,1.0,0.93,0.97,0.97,2923007
Jul 19, 2020,0.97,0.97,0.9,0.92,0.92,2206671
Jul 20, 2020,0.92,0.92,0.85,0.87,0.87,3036871
Jul 21, 2020,0.87,1.01,0.86,0.98,0.98,4299502
Jul 22, 2020,0.98,1.1,0.97,1.04,1.04,5295002
Jul 23, 2020,1.05,1.1,1.0,1.05,1.05,2970423
Jul 24, 2020,1.05,1.05,0.97,1.0,1.0,1991763
Jul 25, 2020,1.0,1.43,1.0,1.25,1.25,9978279
Jul 26, 2020,1.24,1.62,1.24,1.57,1.57,10463130
Jul 27, 2020,1.57,2.04,1.56,1.78,1.78,32838355
Jul 28, 2020,1.78,1.86,1.61,1.78,1.78,9692632
Jul 29, 2020,1.79,2.1,1.59,1.66,1.66,10348945
Jul 30, 2020,1.66,1.8,1.64,1.69,1.69,5222980
Jul 31, 2020,1.69,1.69,1.51,1.54,1.54,4822046
Aug 01, 2020,1.53,1.66,1.5,1.53,1.53,4589882
Aug 02, 2020,1.53,1.75,1.41,1.74,1.74,7216576
Aug 03, 2020,1.73,1.83,1.67,1.8,1.8,5836036
Aug 04, 2020,1.8,1.95,1.79,1.87,1.87,5495665
Aug 05, 2020,1.87,1.89,1.71,1.75,1.75,5405764
Aug 06, 2020,1.75,2.23,1.75,2.21,2.21,11143557
Aug 07, 2020,2.2,2.2,1.89,2.09,2.09,8068102
Aug 08, 2020,2.08,2.57,2.03,2.47,2.47,10919229
Aug 09, 2020,2.47,2.71,2.3,2.67,2.67,12107837
Aug 10, 2020,2.67,3.4,2.53,3.13,3.13,22863251
Aug 11, 2020,3.13,3.49,2.75,3.3,3.3,36356155
Aug 12, 2020,3.31,3.92,3.1,3.77,3.77,28461707
Aug 13, 2020,3.77,4.16,3.53,3.76,3.76,28236179
Aug 14, 2020,3.76,3.79,3.33,3.41,3.41,18427950
Aug 15, 2020,3.41,3.72,3.17,3.18,3.18,13155762
Aug 16, 2020,3.19,3.47,3.14,3.39,3.39,10395313
Aug 17, 2020,3.39,3.39,3.09,3.1,3.1,10723919
Aug 18, 2020,3.1,3.71,2.89,3.33,3.33,30350145
Aug 19, 2020,3.33,3.48,2.84,2.9,2.9,14838389
Aug 20, 2020,2.9,3.43,2.9,3.21,3.21,13756478
Aug 21, 2020,3.21,3.22,2.91,2.94,2.94,11796736
Aug 22, 2020,2.95,3.19,2.76,3.02,3.02,10296805
Aug 23, 2020,3.02,3.4,3.02,3.32,3.32,11991402
Aug 24, 2020,3.31,3.61,3.22,3.34,3.34,15785208
Aug 25, 2020,3.35,3.36,3.03,3.26,3.26,13444308
Aug 26, 2020,3.27,3.8,3.19,3.56,3.56,22147431
Aug 27, 2020,3.56,3.85,3.29,3.45,3.45,21031356
Aug 28, 2020,3.45,4.31,3.45,4.01,4.01,27212888
Aug 29, 2020,4.01,4.11,3.79,3.97,3.97,14585964
Aug 30, 2020,3.97,4.71,3.92,4.44,4.44,22220239
Aug 31, 2020,4.42,4.87,4.11,4.78,4.78,20950150
Sep 01, 2020,4.78,4.94,4.34,4.34,4.34,16944927
Sep 02, 2020,4.35,4.36,3.71,4.16,4.16,23655802
Sep 03, 2020,4.17,4.44,3.53,3.53,3.53,26473634
Sep 04, 2020,3.52,3.83,3.2,3.55,3.55,17729340
Sep 05, 2020,3.55,3.66,2.19,2.6,2.6,25062205
Sep 06, 2020,2.6,3.18,2.29,3.09,3.09,20375890
Sep 07, 2020,3.09,3.19,2.39,2.93,2.93,17135013
Sep 08, 2020,2.93,2.94,2.4,2.47,2.47,10163725
Sep 09, 2020,2.47,3.75,2.39,3.64,3.64,52354542
Sep 10, 2020,3.64,3.85,3.32,3.47,3.47,31177875
Sep 11, 2020,3.47,3.5,3.04,3.43,3.43,17090627
Sep 12, 2020,3.42,3.47,3.15,3.33,3.33,10368518
Sep 13, 2020,3.34,3.47,3.01,3.23,3.23,15316353
Sep 14, 2020,3.23,3.52,3.09,3.27,3.27,21301450
Sep 15, 2020,3.27,3.32,2.92,2.94,2.94,11992538
Sep 16, 2020,2.94,2.94,2.45,2.55,2.55,24199804
Sep 17, 2020,2.55,2.93,2.37,2.89,2.89,23792220
Sep 18, 2020,2.89,3.16,2.74,3.11,3.11,23510207
Sep 19, 2020,3.11,3.25,2.97,3.03,3.03,10763973
Sep 20, 2020,3.03,3.03,2.72,2.87,2.87,9217295
Sep 21, 2020,2.87,3.03,2.5,2.78,2.78,19492894
Sep 22, 2020,2.77,2.99,2.67,2.92,2.92,18556523
Sep 23, 2020,2.93,3.07,2.75,2.84,2.84,16096650
Sep 24, 2020,2.84,3.25,2.8,3.13,3.13,18993326
Sep 25, 2020,3.15,3.27,2.91,3.19,3.19,15935143
Sep 26, 2020,3.19,3.2,3.04,3.13,3.13,11018475
Sep 27, 2020,3.13,3.17,3.01,3.15,3.15,9734368
Sep 28, 2020,3.15,3.2,2.94,2.96,2.96,10950201
Sep 29, 2020,2.96,3.01,2.9,2.95,2.95,8821253
Sep 30, 2020,2.95,2.98,2.84,2.9,2.9,7767702
Oct 01, 2020,2.9,2.99,2.66,2.86,2.86,10825966
Oct 02, 2020,2.86,2.88,2.46,2.63,2.63,15856539
Oct 03, 2020,2.63,2.67,2.55,2.55,2.55,6155891
Oct 04, 2020,2.54,2.59,2.43,2.52,2.52,7075729
Oct 05, 2020,2.52,2.66,2.47,2.66,2.66,8105684
Oct 06, 2020,2.66,2.66,2.15,2.18,2.18,9739071
Oct 07, 2020,2.18,2.39,2.1,2.29,2.29,11759752
Oct 08, 2020,2.3,2.43,2.03,2.37,2.37,14931922
Oct 09, 2020,2.37,2.63,2.32,2.54,2.54,12002959
Oct 10, 2020,2.54,2.59,2.4,2.41,2.41,8842884
Oct 11, 2020,2.41,2.46,2.34,2.43,2.43,7170647
Oct 12, 2020,2.43,2.7,2.42,2.59,2.59,12289969
Oct 13, 2020,2.58,2.58,2.35,2.4,2.4,11415737
Oct 14, 2020,2.41,2.44,2.25,2.31,2.31,9436239
Oct 15, 2020,2.31,2.34,2.2,2.27,2.27,8332483
Oct 16, 2020,2.27,2.27,2.13,2.15,2.15,13637728
Oct 17, 2020,2.15,2.24,2.13,2.2,2.2,6612612
Oct 18, 2020,2.2,2.25,2.18,2.21,2.21,6294162
Oct 19, 2020,2.21,2.21,2.05,2.06,2.06,8248860
Oct 20, 2020,2.06,2.1,1.85,1.89,1.89,13129043
Oct 21, 2020,1.89,2.07,1.86,1.89,1.89,19275509
Oct 22, 2020,1.89,2.08,1.89,1.96,1.96,11445663
Oct 23, 2020,1.96,1.98,1.85,1.96,1.96,11497445
Oct 24, 2020,1.96,1.96,1.88,1.91,1.91,7581827
Oct 25, 2020,1.91,1.92,1.77,1.79,1.79,9092334
Oct 26, 2020,1.79,1.86,1.63,1.69,1.69,13396736
Oct 27, 2020,1.69,1.75,1.61,1.71,1.71,14384427
Oct 28, 2020,1.71,1.72,1.39,1.49,1.49,17089719
Oct 29, 2020,1.49,1.57,1.41,1.43,1.43,8024138
Oct 30, 2020,1.43,1.47,1.34,1.44,1.44,8528336
Oct 31, 2020,1.44,1.55,1.43,1.54,1.54,6449388
Nov 01, 2020,1.54,1.64,1.51,1.6,1.6,6877557
Nov 02, 2020,1.6,1.63,1.47,1.47,1.47,6366346
Nov 03, 2020,1.47,1.48,1.41,1.41,1.41,6536977
Nov 04, 2020,1.41,1.41,1.28,1.39,1.39,11406316
Nov 05, 2020,1.39,1.49,1.3,1.41,1.41,8924132
Nov 06, 2020,1.41,1.94,1.4,1.91,1.91,22547497
Nov 07, 2020,1.91,2.48,1.84,2.03,2.03,51426100
Nov 08, 2020,2.03,2.26,1.97,2.16,2.16,25931043
Nov 09, 2020,2.16,2.19,1.96,2.03,2.03,18210626
Nov 10, 2020,2.03,2.31,2.01,2.25,2.25,16170833
Nov 11, 2020,2.25,2.28,1.97,2.0,2.0,13877949
Nov 12, 2020,2.0,2.05,1.83,1.9,1.9,11506048
Nov 13, 2020,1.9,2.06,1.9,2.02,2.02,11621744
Nov 14, 2020,2.02,2.03,1.88,1.92,1.92,8134593
Nov 15, 2020,1.92,2.21,1.92,2.04,2.04,18621333
Nov 16, 2020,2.04,2.36,1.99,2.26,2.26,22156135
Nov 17, 2020,2.28,2.32,2.13,2.2,2.2,17074175
Nov 18, 2020,2.2,2.21,2.01,2.12,2.12,14629648
Nov 19, 2020,2.12,2.18,2.02,2.08,2.08,10155987
Nov 20, 2020,2.08,2.23,2.06,2.1,2.1,11113990
Nov 21, 2020,2.1,2.5,2.05,2.38,2.38,20288343
Nov 22, 2020,2.38,2.4,2.05,2.14,2.14,16416065
Nov 23, 2020,2.14,2.35,2.12,2.28,2.28,15487339
Nov 24, 2020,2.28,2.47,2.14,2.27,2.27,25036626
Nov 25, 2020,2.27,2.48,2.18,2.27,2.27,24870951
Nov 26, 2020,2.27,2.29,1.74,1.9,1.9,33038223
Nov 27, 2020,1.9,1.97,1.78,1.86,1.86,13307808
Nov 28, 2020,1.86,1.94,1.81,1.89,1.89,11661883
Nov 29, 2020,1.89,1.94,1.86,1.92,1.92,6139511
Nov 30, 2020,1.92,2.01,1.91,1.97,1.97,8716571
Dec 01, 2020,1.97,2.13,1.93,1.98,1.98,12847022
Dec 02, 2020,1.98,2.19,1.96,2.12,2.12,15849828
Dec 03, 2020,2.12,2.22,2.09,2.1,2.1,18106122
Dec 04, 2020,2.1,2.11,1.85,1.86,1.86,9019864
Dec 05, 2020,1.86,1.98,1.83,1.98,1.98,7750781
Dec 06, 2020,1.98,1.98,1.82,1.85,1.85,7167230
Dec 07, 2020,1.85,1.9,1.81,1.83,1.83,6425070
Dec 08, 2020,1.83,1.83,1.65,1.67,1.67,11304051
Dec 09, 2020,1.66,1.67,1.5,1.66,1.66,10461119
Dec 10, 2020,1.66,1.67,1.55,1.57,1.57,6167983
Dec 11, 2020,1.57,1.58,1.44,1.44,1.44,8273918
Dec 12, 2020,1.44,1.54,1.44,1.49,1.49,7085231
Dec 13, 2020,1.49,1.64,1.46,1.57,1.57,8389349
Dec 14, 2020,1.57,1.62,1.52,1.59,1.59,8672052
Dec 15, 2020,1.59,1.8,1.59,1.76,1.76,19470080
Dec 16, 2020,1.76,1.79,1.61,1.78,1.78,18277631
Dec 17, 2020,1.78,1.8,1.66,1.68,1.68,15461477
Dec 18, 2020,1.68,1.71,1.64,1.7,1.7,7879397
Dec 19, 2020,1.7,1.76,1.66,1.67,1.67,9095045
Dec 20, 2020,1.67,1.68,1.53,1.56,1.56,9093229
Dec 21, 2020,1.56,1.62,1.5,1.54,1.54,8333991
Dec 22, 2020,1.54,1.57,1.47,1.49,1.49,11066565
Dec 23, 2020,1.49,1.51,1.09,1.21,1.21,16776307
Dec 24, 2020,1.21,1.38,1.17,1.36,1.36,9236939
Dec 25, 2020,1.36,1.45,1.35,1.45,1.45,9359549
Dec 26, 2020,1.45,1.45,1.31,1.32,1.32,6798656
Dec 27, 2020,1.33,1.41,1.27,1.3,1.3,12286531
Dec 28, 2020,1.3,1.52,1.29,1.52,1.52,12668150
Dec 29, 2020,1.52,1.73,1.44,1.67,1.67,26355259
Dec 30, 2020,1.67,1.68,1.53,1.54,1.54,12663616
Dec 31, 2020,1.54,1.55,1.43,1.51,1.51,12763260
Jan 01, 2021,1.51,1.86,1.5,1.84,1.84,25722549
Jan 02, 2021,1.85,1.99,1.72,1.8,1.8,31671064
Jan 03, 2021,1.8,2.36,1.8,2.16,2.16,55073422
Jan 04, 2021,2.16,2.49,1.88,2.49,2.49,59955405
Jan 05, 2021,2.49,2.5,2.08,2.16,2.16,50555207
Jan 06, 2021,2.16,2.19,1.91,1.93,1.93,50263975
Jan 07, 2021,1.94,2.61,1.93,2.37,2.37,159870278
Jan 08, 2021,2.37,3.78,2.18,3.22,3.22,206412154
Jan 09, 2021,3.22,3.66,2.94,3.39,3.39,91906875
Jan 10, 2021,3.39,3.73,3.2,3.47,3.47,62766977
Jan 11, 2021,3.46,3.51,2.6,3.11,3.11,82877500
Jan 12, 2021,3.1,3.84,3.08,3.61,3.61,73484689
Jan 13, 2021,3.63,3.63,3.27,3.51,3.51,57994893
Jan 14, 2021,3.52,3.54,3.18,3.28,3.28,59283112
Jan 15, 2021,3.28,3.44,2.99,3.25,3.25,45331739
Jan 16, 2021,3.25,3.7,3.25,3.45,3.45,68035606
Jan 17, 2021,3.43,3.97,3.32,3.82,3.82,85407766
Jan 18, 2021,3.82,4.15,3.66,3.8,3.8,70601713
Jan 19, 2021,3.79,4.03,3.61,3.64,3.64,44547768
Jan 20, 2021,3.64,3.74,3.34,3.72,3.72,46698656
Jan 21, 2021,3.72,3.73,2.98,2.99,2.99,43834765
Jan 22, 2021,2.99,3.5,2.54,3.35,3.35,63361382
Jan 23, 2021,3.34,3.6,3.32,3.5,3.5,27904470
Jan 24, 2021,3.51,3.79,3.49,3.63,3.63,32747555
Jan 25, 2021,3.63,3.97,3.45,3.7,3.7,80055958
Jan 26, 2021,3.7,4.1,3.68,4.05,4.05,78823456
Jan 27, 2021,4.05,4.05,3.53,3.69,3.69,35195110
Jan 28, 2021,3.69,3.94,3.61,3.82,3.82,31410527
Jan 29, 2021,3.86,3.89,3.64,3.83,3.83,44053151
Jan 30, 2021,3.84,4.31,3.77,4.22,4.22,53378198
Jan 31, 2021,4.24,4.79,4.17,4.26,4.26,78376267
Feb 01, 2021,4.26,4.61,4.12,4.61,4.61,39361629
Feb 02, 2021,4.61,5.4,4.48,5.27,5.27,98755962
Feb 03, 2021,5.25,5.78,5.07,5.72,5.72,49386327
Feb 04, 2021,5.73,6.53,5.6,6.43,6.43,108249482
Feb 05, 2021,6.44,7.13,6.43,6.68,6.68,92892157
Feb 06, 2021,6.69,6.8,5.71,6.11,6.11,102365494
Feb 07, 2021,6.12,6.87,5.77,6.7,6.7,105451103
Feb 08, 2021,6.7,8.06,6.49,7.88,7.88,155254261
Feb 09, 2021,7.87,8.47,7.57,7.82,7.82,121037873
Feb 10, 2021,7.82,9.07,7.61,9.07,9.07,120679902
Feb 11, 2021,9.08,9.71,8.76,9.22,9.22,53600048
Feb 12, 2021,9.21,9.92,9.08,9.25,9.25,91484664
Feb 13, 2021,9.24,9.5,8.68,8.73,8.73,91417968
Feb 14, 2021,8.74,9.22,8.56,8.74,8.74,93500423
Feb 15, 2021,8.72,9.31,7.84,8.86,8.86,109854635
Feb 16, 2021,8.86,8.98,7.98,8.3,8.3,71625205
Feb 17, 2021,8.3,8.43,7.54,8.22,8.22,89948578
Feb 18, 2021,8.23,9.28,8.23,8.98,8.98,77306770
Feb 19, 2021,8.98,11.68,8.56,11.47,11.47,261175711
Feb 20, 2021,11.48,11.79,9.82,10.0,10.0,140264810
Feb 21, 2021,9.99,11.64,9.89,11.09,11.09,137742366
Feb 22, 2021,11.07,14.55,9.26,14.45,14.45,574136241
Feb 23, 2021,14.42,15.74,11.6,15.2,15.2,485252846
Feb 24, 2021,15.21,18.15,14.86,17.3,17.3,375439707
Feb 25, 2021,17.23,17.7,13.8,13.82,13.82,364505276
Feb 26, 2021,13.87,15.48,13.12,13.59,13.59,289687328
Feb 27, 2021,13.6,14.61,13.06,13.2,13.2,247640940
Feb 28, 2021,13.21,13.78,11.49,13.09,13.09,300493226
Mar 01, 2021,13.11,15.52,13.06,14.96,14.96,306451693
Mar 02, 2021,14.97,15.22,13.46,13.96,13.96,178549852
Mar 03, 2021,13.96,14.73,13.77,14.12,14.12,153830742
Mar 04, 2021,14.09,14.26,12.77,13.1,13.1,116364466
Mar 05, 2021,13.07,13.08,12.18,12.61,12.61,90978408
Mar 06, 2021,12.57,13.27,11.9,13.04,13.04,118851546
Mar 07, 2021,13.04,14.0,12.73,13.88,13.88,117548176
Mar 08, 2021,13.83,13.87,13.08,13.6,13.6,115525659
Mar 09, 2021,13.62,14.99,13.32,14.85,14.85,134867044
Mar 10, 2021,14.85,15.19,14.08,14.23,14.23,103150901
Mar 11, 2021,14.22,16.24,13.7,15.99,15.99,229272516
Mar 12, 2021,16.02,16.49,14.11,14.55,14.55,185287457
Mar 13, 2021,14.56,15.39,13.92,15.31,15.31,145102757
Mar 14, 2021,15.3,15.35,14.38,14.51,14.51,90232804
Mar 15, 2021,14.48,14.79,13.7,14.19,14.19,102600692
Mar 16, 2021,14.16,14.28,13.23,13.62,13.62,112303590
Mar 17, 2021,13.63,14.27,13.13,14.22,14.22,94696339
Mar 18, 2021,14.21,14.75,13.83,14.23,14.23,79074263
Mar 19, 2021,14.23,14.49,13.93,14.2,14.2,68715211
Mar 20, 2021,14.2,14.98,14.15,14.21,14.21,68049683
Mar 21, 2021,14.22,14.37,13.67,14.33,14.33,64229338
Mar 22, 2021,14.35,16.6,14.2,14.92,14.92,260995136
Mar 23, 2021,14.85,15.24,14.1,14.2,14.2,106780662
Mar 24, 2021,14.19,15.37,13.66,13.66,13.66,118813690
Mar 25, 2021,13.65,13.71,12.61,13.03,13.03,116277943
Mar 26, 2021,13.02,14.8,12.37,14.78,14.78,149987319
Mar 27, 2021,14.79,16.8,14.76,16.51,16.51,223872587
Mar 28, 2021,16.48,19.39,16.35,18.02,18.02,426120062
Mar 29, 2021,18.08,18.99,17.7,18.85,18.85,216748601
Mar 30, 2021,18.89,20.87,18.89,19.23,19.23,264028427
Mar 31, 2021,19.1,19.8,18.16,19.47,19.47,206011018
Apr 01, 2021,19.42,20.36,18.84,19.08,19.08,173731886
Apr 02, 2021,19.08,19.82,18.57,19.81,19.81,131061660
Apr 03, 2021,19.8,23.83,19.79,22.55,22.55,483057740
Apr 04, 2021,22.53,25.57,22.21,24.06,24.06,426557980
Apr 05, 2021,23.93,24.78,22.81,22.98,22.98,264085329
Apr 06, 2021,22.98,25.35,21.88,24.96,24.96,320886935
Apr 07, 2021,25.15,27.49,23.09,26.48,26.48,676846221
Apr 08, 2021,26.51,27.97,25.72,27.03,27.03,377988327
Apr 09, 2021,26.99,29.01,26.9,27.78,27.78,282477938
Apr 10, 2021,27.65,28.26,25.96,26.84,26.84,270235258
Apr 11, 2021,26.81,28.69,25.58,27.93,27.93,232938762
Apr 12, 2021,27.92,29.86,26.84,28.51,28.51,308804546
Apr 13, 2021,28.54,28.8,26.42,27.44,27.44,258183912
Apr 14, 2021,27.4,27.48,24.79,26.48,26.48,342565805
Apr 15, 2021,26.44,28.25,25.54,27.82,27.82,221346739
Apr 16, 2021,27.82,28.23,24.97,25.4,25.4,240665351
Apr 17, 2021,25.37,26.82,25.1,25.1,25.1,201720376
Apr 18, 2021,25.14,32.9,21.54,32.3,32.3,1155150688
Apr 19, 2021,32.34,36.08,29.93,31.68,31.68,1219130981
Apr 20, 2021,31.48,32.7,28.93,31.77,31.77,793008154
Apr 21, 2021,31.68,35.0,30.17,32.51,32.51,729130141
Apr 22, 2021,32.68,40.97,31.6,38.88,38.88,1638622971
Apr 23, 2021,38.9,41.46,31.66,36.98,36.98,1612232268
Apr 24, 2021,37.26,43.53,34.68,40.74,40.74,1101380795
Apr 25, 2021,40.85,48.43,40.51,47.37,47.37,1583800800
Apr 26, 2021,47.54,48.31,43.37,43.98,43.98,1357487872
